pref_name,parent_molecule_chembl_id,max_phase,action_type,selection_basis,key_reference,mean_pchembl,best_pchembl,assay_count,source
PENTAZOCINE,CHEMBL60542,4.0,AGONIST,Prototypical sigma-1R reference agonist; human crystal structure solved (PDB: 6DK1),"Huang et al., 2017, Cell",8.15,8.77,29,Knowledge Guided
FENTANYL,CHEMBL596,4.0,AGONIST,Identified via ChEMBL quantitative binding pipeline,ChEMBL Database,7.93,9.41,2,Pipeline Derived
DONEPEZIL,CHEMBL502,4.0,AGONIST,IC50=14.6nM at sigma-1R; 93% receptor occupancy,"Meunier et al., 2006, Br J Pharmacol",7.84,7.84,2,Knowledge Guided
FLUVOXAMINE,CHEMBL814,4.0,AGONIST,Highest sigma-1R affinity among all SSRIs (Ki=36nM),"Hashimoto et al., 2009, Biol Psychiatry",7.44,7.44,1,Knowledge Guided
RALOXIFENE,CHEMBL81,4.0,MODULATOR,Identified via ChEMBL quantitative binding pipeline,ChEMBL Database,6.71,7.42,3,Pipeline Derived
DEXTROMETHORPHAN,CHEMBL52440,4.0,AGONIST,Sigma-1R agonism mediates neuroprotection,"Nguyen et al., 2014, Trends Pharmacol Sci",6.46,6.46,1,Knowledge Guided
BREXPIPRAZOLE,CHEMBL2105760,4.0,PARTIAL AGONIST,Identified via ChEMBL quantitative binding pipeline,ChEMBL Database,6.34,6.34,1,Pipeline Derived
PROGESTERONE,CHEMBL103,4.0,AGONIST,Identified via ChEMBL quantitative binding pipeline,ChEMBL Database,5.99,6.58,3,Pipeline Derived
TESTOSTERONE,CHEMBL386630,4.0,AGONIST,Identified via ChEMBL quantitative binding pipeline,ChEMBL Database,5.92,5.92,1,Pipeline Derived
LASMIDITAN,CHEMBL3039520,4.0,AGONIST,Identified via ChEMBL quantitative binding pipeline,ChEMBL Database,5.5,5.5,1,Pipeline Derived
RAMELTEON,CHEMBL1218,4.0,AGONIST,Identified via ChEMBL quantitative binding pipeline,ChEMBL Database,5.05,5.05,1,Pipeline Derived
