molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id
CHEMBL38904,,CHEMBL38904
CHEMBL38904,,CHEMBL38904
CHEMBL67010,,CHEMBL67010
CHEMBL542638,,CHEMBL1191528
CHEMBL46169,,CHEMBL46169
CHEMBL45962,,CHEMBL45962
CHEMBL45686,PANAMESINE,CHEMBL45686
CHEMBL147152,,CHEMBL147152
CHEMBL358579,,CHEMBL358579
CHEMBL141209,,CHEMBL141209
CHEMBL46438,,CHEMBL46438
CHEMBL45535,,CHEMBL45535
CHEMBL148236,,CHEMBL148236
CHEMBL42,CLOZAPINE,CHEMBL42
CHEMBL357179,,CHEMBL357179
CHEMBL434067,,CHEMBL434067
CHEMBL298492,,CHEMBL298492
CHEMBL60859,BMY-14802,CHEMBL60859
CHEMBL544054,,CHEMBL1192761
CHEMBL295039,,CHEMBL295039
CHEMBL289645,,CHEMBL289645
CHEMBL48124,,CHEMBL48124
CHEMBL48075,,CHEMBL48075
CHEMBL45968,,CHEMBL45968
CHEMBL60859,BMY-14802,CHEMBL60859
CHEMBL147151,,CHEMBL147151
CHEMBL148276,,CHEMBL148276
CHEMBL67388,,CHEMBL67388
CHEMBL297634,,CHEMBL297634
CHEMBL22242,REMOXIPRIDE,CHEMBL22242
CHEMBL137990,,CHEMBL137990
CHEMBL538754,,CHEMBL1189436
CHEMBL144662,,CHEMBL144662
CHEMBL417357,,CHEMBL417357
CHEMBL295891,,CHEMBL295891
CHEMBL47774,,CHEMBL47774
CHEMBL417353,,CHEMBL417353
CHEMBL147093,,CHEMBL147093
CHEMBL81602,,CHEMBL81602
CHEMBL47714,,CHEMBL47714
CHEMBL60542,(+)-PENTAZOCINE,CHEMBL60542
CHEMBL60542,(+)-PENTAZOCINE,CHEMBL60542
CHEMBL47834,,CHEMBL47834
CHEMBL275707,RIMCAZOLE,CHEMBL275707
CHEMBL358541,,CHEMBL358541
CHEMBL38634,,CHEMBL38634
CHEMBL38634,,CHEMBL38634
CHEMBL54,HALOPERIDOL,CHEMBL54
CHEMBL54,HALOPERIDOL,CHEMBL54
CHEMBL47678,,CHEMBL47678
CHEMBL47715,,CHEMBL47715
CHEMBL138809,,CHEMBL138809
CHEMBL148289,,CHEMBL148289
CHEMBL44604,,CHEMBL44604
CHEMBL46496,,CHEMBL46496
CHEMBL63508,,CHEMBL63508
CHEMBL138533,,CHEMBL138533
CHEMBL148009,,CHEMBL148009
CHEMBL417181,,CHEMBL417181
CHEMBL43783,,CHEMBL43783
CHEMBL147316,,CHEMBL147316
CHEMBL39900,SPIPETHIANE,CHEMBL39900
CHEMBL39900,SPIPETHIANE,CHEMBL39900
CHEMBL38085,,CHEMBL38085
CHEMBL38085,,CHEMBL38085
CHEMBL47279,,CHEMBL47279
CHEMBL67665,,CHEMBL67665
CHEMBL344348,,CHEMBL344348
CHEMBL282433,DITOLYLGUANIDINE,CHEMBL282433
CHEMBL54,HALOPERIDOL,CHEMBL54
CHEMBL148054,,CHEMBL148054
CHEMBL45849,,CHEMBL45849
CHEMBL342351,,CHEMBL342351
CHEMBL296504,,CHEMBL296504
CHEMBL50771,,CHEMBL50771
CHEMBL41830,,CHEMBL41830
CHEMBL41830,,CHEMBL41830
CHEMBL138393,,CHEMBL138393
CHEMBL138393,,CHEMBL138393
CHEMBL138894,,CHEMBL138894
CHEMBL138894,,CHEMBL138894
CHEMBL370805,COCAINE,CHEMBL370805
CHEMBL423917,,CHEMBL423917
CHEMBL423917,,CHEMBL423917
CHEMBL358455,,CHEMBL358455
CHEMBL7549,PRECLAMOL,CHEMBL7549
CHEMBL344186,,CHEMBL344186
CHEMBL344186,,CHEMBL344186
CHEMBL138932,,CHEMBL138932
CHEMBL138932,,CHEMBL138932
CHEMBL341957,,CHEMBL341957
CHEMBL341957,,CHEMBL341957
CHEMBL139735,,CHEMBL139735
CHEMBL139735,,CHEMBL139735
CHEMBL337796,,CHEMBL337796
CHEMBL337796,,CHEMBL337796
CHEMBL86830,,CHEMBL86830
CHEMBL344402,,CHEMBL344402
CHEMBL344402,,CHEMBL344402
CHEMBL314424,,CHEMBL314424
CHEMBL281594,VANOXERINE,CHEMBL281594
CHEMBL137041,,CHEMBL137041
CHEMBL137041,,CHEMBL137041
CHEMBL139922,,CHEMBL139922
CHEMBL139922,,CHEMBL139922
CHEMBL313179,,CHEMBL313179
CHEMBL86477,,CHEMBL86477
CHEMBL314433,,CHEMBL314433
CHEMBL134856,,CHEMBL134856
CHEMBL134856,,CHEMBL134856
CHEMBL341680,,CHEMBL341680
CHEMBL341680,,CHEMBL341680
CHEMBL341936,,CHEMBL341936
CHEMBL341936,,CHEMBL341936
CHEMBL336037,,CHEMBL336037
CHEMBL336037,,CHEMBL336037
CHEMBL334568,,CHEMBL334568
CHEMBL334568,,CHEMBL334568
CHEMBL316444,,CHEMBL316444
CHEMBL344023,,CHEMBL344023
CHEMBL344023,,CHEMBL344023
CHEMBL136114,,CHEMBL136114
CHEMBL136114,,CHEMBL136114
CHEMBL136989,,CHEMBL136989
CHEMBL136989,,CHEMBL136989
CHEMBL73234,CARBETAPENTANE,CHEMBL73234
CHEMBL138688,,CHEMBL138688
CHEMBL138688,,CHEMBL138688
CHEMBL343580,,CHEMBL343580
CHEMBL343580,,CHEMBL343580
CHEMBL136451,,CHEMBL136451
CHEMBL136451,,CHEMBL136451
CHEMBL135083,,CHEMBL135083
CHEMBL135083,,CHEMBL135083
CHEMBL136231,,CHEMBL136231
CHEMBL136231,,CHEMBL136231
CHEMBL335953,,CHEMBL335953
CHEMBL335953,,CHEMBL335953
CHEMBL433340,,CHEMBL433340
CHEMBL442408,,CHEMBL442408
CHEMBL442408,,CHEMBL442408
CHEMBL136163,,CHEMBL136163
CHEMBL136163,,CHEMBL136163
CHEMBL136677,,CHEMBL136677
CHEMBL136677,,CHEMBL136677
CHEMBL54,HALOPERIDOL,CHEMBL54
CHEMBL54,HALOPERIDOL,CHEMBL54
CHEMBL356855,,CHEMBL356855
CHEMBL138249,,CHEMBL138249
CHEMBL138249,,CHEMBL138249
CHEMBL343137,,CHEMBL343137
CHEMBL343137,,CHEMBL343137
CHEMBL134855,,CHEMBL134855
CHEMBL134855,,CHEMBL134855
CHEMBL316244,,CHEMBL316244
CHEMBL89832,,CHEMBL89832
CHEMBL275528,PHENCYCLIDINE,CHEMBL275528
CHEMBL330021,,CHEMBL330021
CHEMBL139340,,CHEMBL139340
CHEMBL139340,,CHEMBL139340
CHEMBL87841,,CHEMBL87841
CHEMBL137675,,CHEMBL137675
CHEMBL137675,,CHEMBL137675
CHEMBL345051,,CHEMBL345051
CHEMBL345051,,CHEMBL345051
CHEMBL343927,,CHEMBL343927
CHEMBL343927,,CHEMBL343927
CHEMBL1036,HYDROXYHALOPERIDOL,CHEMBL1036
CHEMBL1036,HYDROXYHALOPERIDOL,CHEMBL1036
CHEMBL305881,,CHEMBL305881
CHEMBL137606,,CHEMBL137606
CHEMBL137606,,CHEMBL137606
CHEMBL139629,,CHEMBL139629
CHEMBL139629,,CHEMBL139629
CHEMBL343752,,CHEMBL343752
CHEMBL343752,,CHEMBL343752
CHEMBL76895,,CHEMBL76895
CHEMBL76895,,CHEMBL76895
CHEMBL86519,,CHEMBL86519
CHEMBL136275,,CHEMBL136275
CHEMBL136275,,CHEMBL136275
CHEMBL84971,,CHEMBL84971
CHEMBL275707,RIMCAZOLE,CHEMBL275707
CHEMBL315846,,CHEMBL315846
CHEMBL142577,,CHEMBL142577
CHEMBL344873,,CHEMBL344873
CHEMBL344873,,CHEMBL344873
CHEMBL139156,,CHEMBL139156
CHEMBL139156,,CHEMBL139156
CHEMBL344425,,CHEMBL344425
CHEMBL344425,,CHEMBL344425
CHEMBL315166,,CHEMBL315166
CHEMBL138794,,CHEMBL138794
CHEMBL138794,,CHEMBL138794
CHEMBL61946,CARAMIPHEN,CHEMBL61946
CHEMBL343429,,CHEMBL343429
CHEMBL347761,,CHEMBL347761
CHEMBL14553,,CHEMBL14553
CHEMBL14553,,CHEMBL14553
CHEMBL276935,,CHEMBL276935
CHEMBL276935,,CHEMBL276935
CHEMBL159967,,CHEMBL159967
CHEMBL15185,,CHEMBL15185
CHEMBL15185,,CHEMBL15185
CHEMBL300647,,CHEMBL300647
CHEMBL15288,,CHEMBL15288
CHEMBL15288,,CHEMBL15288
CHEMBL274699,,CHEMBL274699
CHEMBL274699,,CHEMBL274699
CHEMBL26320,,CHEMBL26320
CHEMBL159608,,CHEMBL159608
CHEMBL159320,,CHEMBL159320
CHEMBL53649,,CHEMBL53649
CHEMBL53649,,CHEMBL53649
CHEMBL164037,,CHEMBL164037
CHEMBL60542,(+)-PENTAZOCINE,CHEMBL60542
CHEMBL60542,(+)-PENTAZOCINE,CHEMBL60542
CHEMBL300647,,CHEMBL300647
CHEMBL14835,,CHEMBL14835
CHEMBL14835,,CHEMBL14835
CHEMBL281594,VANOXERINE,CHEMBL281594
CHEMBL159319,,CHEMBL159319
CHEMBL20377,,CHEMBL20377
CHEMBL20377,,CHEMBL20377
CHEMBL14900,,CHEMBL14900
CHEMBL14900,,CHEMBL14900
CHEMBL286991,,CHEMBL286991
CHEMBL163980,,CHEMBL163980
CHEMBL45491,,CHEMBL45491
CHEMBL45491,,CHEMBL45491
CHEMBL14876,,CHEMBL14876
CHEMBL14876,,CHEMBL14876
CHEMBL15223,,CHEMBL15223
CHEMBL15223,,CHEMBL15223
CHEMBL607159,,CHEMBL607159
CHEMBL607212,,CHEMBL607212
CHEMBL71049,,CHEMBL71049
CHEMBL71049,,CHEMBL71049
CHEMBL301867,,CHEMBL301867
CHEMBL117319,,CHEMBL117319
CHEMBL607273,,CHEMBL607273
CHEMBL20377,,CHEMBL20377
CHEMBL117183,,CHEMBL117183
CHEMBL117183,,CHEMBL117183
CHEMBL60542,(+)-PENTAZOCINE,CHEMBL60542
CHEMBL2303661,,CHEMBL2303661
CHEMBL114203,,CHEMBL114203
CHEMBL114203,,CHEMBL114203
CHEMBL114123,,CHEMBL114123
CHEMBL114123,,CHEMBL114123
