molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,standard_type,standard_units,standard_value,type,units,value
CHEMBL38904,,CHEMBL38904,7.7,Ki,nM,20.0,Ki,nM,20.0
CHEMBL67010,,CHEMBL67010,7.14,IC50,nM,72.0,IC50,nM,72.0
CHEMBL542638,,CHEMBL1191528,8.22,IC50,nM,6.0,IC50,nM,6.0
CHEMBL46169,,CHEMBL46169,6.57,Ki,nM,270.0,Ki,nM l-1,270.0
CHEMBL45962,,CHEMBL45962,7.47,Ki,nM,34.0,Ki,nM l-1,34.0
CHEMBL45686,PANAMESINE,CHEMBL45686,7.72,Ki,nM,19.0,Ki,nM l-1,19.0
CHEMBL147152,,CHEMBL147152,6.77,Ki,nM,170.0,Ki,nM,170.0
CHEMBL358579,,CHEMBL358579,8.25,Ki,nM,5.66,Ki,nM,5.66
CHEMBL141209,,CHEMBL141209,8.89,Ki,nM,1.29,Ki,nM,1.29
CHEMBL46438,,CHEMBL46438,7.75,Ki,nM,18.0,Ki,nM l-1,18.0
CHEMBL45535,,CHEMBL45535,9.0,Ki,nM,1.0,Ki,nM l-1,1.0
CHEMBL148236,,CHEMBL148236,6.74,Ki,nM,183.0,Ki,nM,183.0
CHEMBL42,CLOZAPINE,CHEMBL42,5.07,Ki,nM,8500.0,Ki,nM,8500.0
CHEMBL357179,,CHEMBL357179,8.14,Ki,nM,7.27,Ki,nM,7.27
CHEMBL434067,,CHEMBL434067,8.14,Ki,nM,7.16,Ki,nM,7.16
CHEMBL298492,,CHEMBL298492,7.72,Ki,nM,19.0,Ki,nM l-1,19.0
CHEMBL60859,BMY-14802,CHEMBL60859,6.58,Ki,nM,265.0,Ki,nM,265.0
CHEMBL544054,,CHEMBL1192761,8.05,IC50,nM,9.0,IC50,nM,9.0
CHEMBL295039,,CHEMBL295039,7.39,Ki,nM,41.0,Ki,nM l-1,41.0
CHEMBL289645,,CHEMBL289645,6.77,Ki,nM,170.0,Ki,nM l-1,170.0
CHEMBL48124,,CHEMBL48124,7.72,Ki,nM,19.0,Ki,nM l-1,19.0
CHEMBL48075,,CHEMBL48075,7.8,Ki,nM,16.0,Ki,nM l-1,16.0
CHEMBL45968,,CHEMBL45968,7.62,Ki,nM,24.0,Ki,nM l-1,24.0
CHEMBL60859,BMY-14802,CHEMBL60859,7.15,Ki,nM,71.0,Ki,nM l-1,71.0
CHEMBL147151,,CHEMBL147151,8.66,Ki,nM,2.18,Ki,nM,2.18
CHEMBL148276,,CHEMBL148276,8.81,Ki,nM,1.54,Ki,nM,1.54
CHEMBL67388,,CHEMBL67388,7.8,IC50,nM,16.0,IC50,nM,16.0
CHEMBL297634,,CHEMBL297634,7.47,Ki,nM,34.0,Ki,nM l-1,34.0
CHEMBL22242,REMOXIPRIDE,CHEMBL22242,7.26,Ki,nM,55.0,Ki,nM l-1,55.0
CHEMBL137990,,CHEMBL137990,8.66,Ki,nM,2.17,Ki,nM,2.17
CHEMBL538754,,CHEMBL1189436,7.82,IC50,nM,15.0,IC50,nM,15.0
CHEMBL144662,,CHEMBL144662,7.9,Ki,nM,12.7,Ki,nM,12.7
CHEMBL417357,,CHEMBL417357,8.15,Ki,nM,7.0,Ki,nM l-1,7.0
CHEMBL295891,,CHEMBL295891,7.77,Ki,nM,17.0,Ki,nM l-1,17.0
CHEMBL47774,,CHEMBL47774,8.3,Ki,nM,5.0,Ki,nM l-1,5.0
CHEMBL417353,,CHEMBL417353,8.7,Ki,nM,2.0,Ki,nM l-1,2.0
CHEMBL147093,,CHEMBL147093,7.93,Ki,nM,11.7,Ki,nM,11.7
CHEMBL81602,,CHEMBL81602,6.79,Ki,nM,164.0,Ki,nM,164.0
