action_type,molecule_chembl_id,parent_molecule_chembl_id
INHIBITOR,CHEMBL1201117,CHEMBL1201117
INHIBITOR,CHEMBL20,CHEMBL20
ANTAGONIST,CHEMBL1722209,CHEMBL1382
ANTAGONIST,CHEMBL517712,CHEMBL517712
ANTAGONIST,CHEMBL1200604,CHEMBL1200604
ANTAGONIST,CHEMBL3545181,CHEMBL1900528
AGONIST,CHEMBL14,CHEMBL965
ANTAGONIST,CHEMBL1354199,CHEMBL376897
ANTAGONIST,CHEMBL1231,CHEMBL1231
ANTAGONIST,CHEMBL344159,CHEMBL344159
ANTAGONIST,CHEMBL603,CHEMBL603
INHIBITOR,CHEMBL877,CHEMBL877
INHIBITOR,CHEMBL1046,CHEMBL1046
INHIBITOR,CHEMBL20,CHEMBL20
INHIBITOR,CHEMBL1168,CHEMBL1168
INHIBITOR,CHEMBL1560,CHEMBL1560
AGONIST,CHEMBL1472,CHEMBL1472
INHIBITOR,CHEMBL1643,CHEMBL1643
ANTAGONIST,CHEMBL1200618,CHEMBL914
ANTAGONIST,CHEMBL1200809,CHEMBL639
ANTAGONIST,CHEMBL998,CHEMBL998
ANTAGONIST,CHEMBL1172,CHEMBL1172
ANTAGONIST,CHEMBL1633,CHEMBL534
ANTAGONIST,CHEMBL1200406,CHEMBL1200406
ANTAGONIST,CHEMBL567,CHEMBL567
ANTAGONIST,CHEMBL728,CHEMBL728
ANTAGONIST,CHEMBL14376,CHEMBL14376
ANTAGONIST,CHEMBL1513,CHEMBL1513
ANTAGONIST,CHEMBL1069,CHEMBL1069
INHIBITOR,CHEMBL1515,CHEMBL1515
INHIBITOR,CHEMBL1518,CHEMBL1518
INHIBITOR,CHEMBL1200748,CHEMBL1201236
ANTAGONIST,CHEMBL24778,CHEMBL24778
AGONIST,CHEMBL1009,CHEMBL1009
INHIBITOR,CHEMBL64,CHEMBL64
INHIBITOR,CHEMBL710,CHEMBL710
INHIBITOR,CHEMBL93,CHEMBL93
INHIBITOR,CHEMBL421,CHEMBL421
ANTAGONIST,CHEMBL517712,CHEMBL517712
ANTAGONIST,CHEMBL569713,CHEMBL569713
ANTAGONIST,CHEMBL1354199,CHEMBL376897
ANTAGONIST,CHEMBL24,CHEMBL24
PARTIAL AGONIST,CHEMBL500,CHEMBL500
ANTAGONIST,CHEMBL521606,CHEMBL521606
ANTAGONIST,CHEMBL1671,CHEMBL27
ANTAGONIST,CHEMBL1691,CHEMBL423
ANTAGONIST,CHEMBL499,CHEMBL499
INHIBITOR,CHEMBL1046,CHEMBL1046
INHIBITOR,CHEMBL456,CHEMBL456
INHIBITOR,CHEMBL1148,CHEMBL1148
INHIBITOR,CHEMBL35,CHEMBL35
INHIBITOR,CHEMBL406,CHEMBL406
INHIBITOR,CHEMBL878,CHEMBL878
INHIBITOR,CHEMBL435,CHEMBL435
INHIBITOR,CHEMBL1054,CHEMBL1054
INHIBITOR,CHEMBL1055,CHEMBL1055
POSITIVE ALLOSTERIC MODULATOR,CHEMBL1200776,CHEMBL1201284
OPENER,CHEMBL181,CHEMBL181
AGONIST,CHEMBL2138684,CHEMBL1279
AGONIST,CHEMBL128,CHEMBL128
ANTAGONIST,CHEMBL46,CHEMBL46
ANTAGONIST,CHEMBL289469,CHEMBL289469
INHIBITOR,CHEMBL413,CHEMBL413
INHIBITOR,CHEMBL109,CHEMBL109
INHIBITOR,CHEMBL1615374,CHEMBL439849
INHIBITOR,CHEMBL1113,CHEMBL1113
INHIBITOR,CHEMBL1200492,CHEMBL623
AGONIST,CHEMBL408,CHEMBL408
