max_phase,molecule_chembl_id,pref_name
4.0,CHEMBL42,CLOZAPINE
2.0,CHEMBL7549,PRECLAMOL
4.0,CHEMBL54,HALOPERIDOL
2.0,CHEMBL275707,RIMCAZOLE
,CHEMBL282433,DITOLYLGUANIDINE
3.0,CHEMBL281594,VANOXERINE
4.0,CHEMBL22242,REMOXIPRIDE
,CHEMBL38085,
,CHEMBL38904,
,CHEMBL39900,SPIPETHIANE
,CHEMBL38634,
,CHEMBL41830,
,CHEMBL297634,
,CHEMBL47834,
,CHEMBL48124,
,CHEMBL47714,
,CHEMBL47715,
,CHEMBL417357,
,CHEMBL417181,
,CHEMBL44604,
,CHEMBL289645,
,CHEMBL298492,
,CHEMBL45962,
,CHEMBL47774,
,CHEMBL47678,
,CHEMBL47279,
,CHEMBL295891,
,CHEMBL48075,
,CHEMBL46169,
,CHEMBL43783,
,CHEMBL296504,
2.0,CHEMBL45686,PANAMESINE
,CHEMBL46438,
,CHEMBL46496,
,CHEMBL45968,
,CHEMBL45535,
,CHEMBL417353,
,CHEMBL50771,
,CHEMBL45849,
,CHEMBL295039,
,CHEMBL60859,BMY-14802
,CHEMBL60542,(+)-PENTAZOCINE
,CHEMBL67010,
,CHEMBL67665,
,CHEMBL67388,
,CHEMBL63508,
4.0,CHEMBL73234,CARBETAPENTANE
,CHEMBL81602,
,CHEMBL86477,
,CHEMBL314433,
,CHEMBL314424,
,CHEMBL316444,
,CHEMBL313179,
,CHEMBL86830,
,CHEMBL136989,
,CHEMBL137041,
,CHEMBL138688,
,CHEMBL343580,
,CHEMBL341957,
,CHEMBL344023,
,CHEMBL334568,
,CHEMBL423917,
,CHEMBL134856,
,CHEMBL138932,
,CHEMBL139735,
,CHEMBL139922,
,CHEMBL341936,
,CHEMBL344186,
,CHEMBL136451,
,CHEMBL337796,
,CHEMBL136114,
,CHEMBL138393,
,CHEMBL344402,
,CHEMBL336037,
,CHEMBL138894,
,CHEMBL141209,
,CHEMBL138809,
,CHEMBL138533,
,CHEMBL137990,
,CHEMBL358455,
,CHEMBL434067,
,CHEMBL148236,
,CHEMBL148289,
,CHEMBL148276,
,CHEMBL358541,
,CHEMBL357179,
,CHEMBL147093,
,CHEMBL147152,
,CHEMBL344348,
,CHEMBL342351,
,CHEMBL358579,
,CHEMBL148054,
,CHEMBL148009,
,CHEMBL147316,
,CHEMBL147151,
,CHEMBL144662,
4.0,CHEMBL370805,COCAINE
,CHEMBL1189436,
,CHEMBL1191528,
,CHEMBL1192761,
2.0,CHEMBL275528,PHENCYCLIDINE
,CHEMBL274699,
,CHEMBL14876,
,CHEMBL276935,
,CHEMBL14835,
,CHEMBL15185,
,CHEMBL14553,
,CHEMBL14900,
,CHEMBL15288,
,CHEMBL15223,
,CHEMBL15456,
,CHEMBL15499,
,CHEMBL15601,
,CHEMBL280063,
,CHEMBL16123,
,CHEMBL20377,
,CHEMBL277927,
,CHEMBL26320,
,CHEMBL286991,
,CHEMBL300647,
,CHEMBL45491,
,CHEMBL53649,
2.0,CHEMBL61946,CARAMIPHEN
,CHEMBL301867,
,CHEMBL71049,
,CHEMBL70540,
,CHEMBL312766,
,CHEMBL305881,
,CHEMBL76895,
,CHEMBL1036,HYDROXYHALOPERIDOL
,CHEMBL316244,
,CHEMBL315166,
,CHEMBL433340,
,CHEMBL86519,
,CHEMBL87841,
,CHEMBL315846,
,CHEMBL84971,
,CHEMBL89832,
,CHEMBL330021,
,CHEMBL114203,
,CHEMBL114358,
,CHEMBL115998,
,CHEMBL324392,
,CHEMBL116643,
,CHEMBL325052,
,CHEMBL117319,
,CHEMBL324505,
,CHEMBL117183,
