action_type,max_phase,molecule_chembl_id,parent_molecule_chembl_id
ANTAGONIST,4,CHEMBL1231,CHEMBL1231
ANTAGONIST,4,CHEMBL728,CHEMBL728
ANTAGONIST,4,CHEMBL14376,CHEMBL14376
ANTAGONIST,4,CHEMBL1671,CHEMBL27
POSITIVE ALLOSTERIC MODULATOR,4,CHEMBL1200776,CHEMBL1201284
INHIBITOR,4,CHEMBL1615374,CHEMBL439849
PARTIAL AGONIST,4,CHEMBL1615374,CHEMBL439849
ANTAGONIST,4,CHEMBL54,CHEMBL54
ANTAGONIST,4,CHEMBL14376,CHEMBL14376
AGONIST,4,CHEMBL596,CHEMBL596
ANTAGONIST,4,CHEMBL1671,CHEMBL27
ANTAGONIST,4,CHEMBL1231,CHEMBL1231
INVERSE AGONIST,4,CHEMBL54,CHEMBL54
MODULATOR,2,CHEMBL2107572,CHEMBL292376
AGONIST,3,CHEMBL209821,CHEMBL209821
MODULATOR,3,CHEMBL596802,CHEMBL596802
,4,CHEMBL1909072,CHEMBL1909072
ANTAGONIST,4,CHEMBL22242,CHEMBL22242
BLOCKER,4,CHEMBL404849,CHEMBL404849
INHIBITOR,4,CHEMBL187709,CHEMBL187709
,3,CHEMBL253376,CHEMBL253376
BLOCKER,2,CHEMBL43064,CHEMBL43064
ANTAGONIST,2,CHEMBL43064,CHEMBL43064
INVERSE AGONIST,4,CHEMBL4164059,CHEMBL462605
MODULATOR,3,CHEMBL954,CHEMBL954
MODULATOR,4,CHEMBL81,CHEMBL81
