molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,value
CHEMBL38904,,CHEMBL38904,7.70,20.0
CHEMBL67010,,CHEMBL67010,7.14,72.0
CHEMBL542638,,CHEMBL1191528,8.22,6.0
CHEMBL46169,,CHEMBL46169,6.57,270.0
CHEMBL45962,,CHEMBL45962,7.47,34.0
CHEMBL45686,PANAMESINE,CHEMBL45686,7.72,19.0
CHEMBL147152,,CHEMBL147152,6.77,170.0
CHEMBL358579,,CHEMBL358579,8.25,5.66
CHEMBL141209,,CHEMBL141209,8.89,1.29
CHEMBL46438,,CHEMBL46438,7.75,18.0
CHEMBL45535,,CHEMBL45535,9.00,1.0
CHEMBL148236,,CHEMBL148236,6.74,183.0
CHEMBL42,CLOZAPINE,CHEMBL42,5.07,8500.0
CHEMBL357179,,CHEMBL357179,8.14,7.27
CHEMBL434067,,CHEMBL434067,8.14,7.16
CHEMBL298492,,CHEMBL298492,7.72,19.0
CHEMBL60859,BMY-14802,CHEMBL60859,6.58,265.0
CHEMBL544054,,CHEMBL1192761,8.05,9.0
CHEMBL295039,,CHEMBL295039,7.39,41.0
CHEMBL289645,,CHEMBL289645,6.77,170.0
CHEMBL48124,,CHEMBL48124,7.72,19.0
CHEMBL48075,,CHEMBL48075,7.80,16.0
CHEMBL45968,,CHEMBL45968,7.62,24.0
CHEMBL60859,BMY-14802,CHEMBL60859,7.15,71.0
CHEMBL147151,,CHEMBL147151,8.66,2.18
CHEMBL148276,,CHEMBL148276,8.81,1.54
CHEMBL67388,,CHEMBL67388,7.80,16.0
CHEMBL297634,,CHEMBL297634,7.47,34.0
CHEMBL22242,REMOXIPRIDE,CHEMBL22242,7.26,55.0
CHEMBL137990,,CHEMBL137990,8.66,2.17
CHEMBL538754,,CHEMBL1189436,7.82,15.0
CHEMBL144662,,CHEMBL144662,7.90,12.7
CHEMBL417357,,CHEMBL417357,8.15,7.0
CHEMBL295891,,CHEMBL295891,7.77,17.0
CHEMBL47774,,CHEMBL47774,8.30,5.0
CHEMBL417353,,CHEMBL417353,8.70,2.0
CHEMBL147093,,CHEMBL147093,7.93,11.7
CHEMBL81602,,CHEMBL81602,6.79,164.0
CHEMBL47714,,CHEMBL47714,7.92,12.0
CHEMBL60542,(+)-PENTAZOCINE,CHEMBL60542,8.21,6.1
CHEMBL47834,,CHEMBL47834,6.60,250.0
CHEMBL275707,RIMCAZOLE,CHEMBL275707,6.17,680.0
CHEMBL358541,,CHEMBL358541,8.03,9.33
CHEMBL38634,,CHEMBL38634,9.21,0.62
CHEMBL54,HALOPERIDOL,CHEMBL54,8.49,3.2
CHEMBL47678,,CHEMBL47678,7.51,31.0
CHEMBL47715,,CHEMBL47715,8.52,3.0
CHEMBL138809,,CHEMBL138809,8.94,1.14
CHEMBL148289,,CHEMBL148289,7.80,15.9
CHEMBL44604,,CHEMBL44604,7.85,14.0
CHEMBL46496,,CHEMBL46496,6.92,120.0
CHEMBL63508,,CHEMBL63508,8.05,9.0
CHEMBL138533,,CHEMBL138533,8.13,7.33
CHEMBL148009,,CHEMBL148009,8.05,8.95
CHEMBL417181,,CHEMBL417181,7.82,15.0
CHEMBL43783,,CHEMBL43783,6.52,300.0
CHEMBL147316,,CHEMBL147316,8.67,2.16
CHEMBL39900,SPIPETHIANE,CHEMBL39900,9.30,0.5
CHEMBL38085,,CHEMBL38085,7.60,25.0
CHEMBL47279,,CHEMBL47279,7.21,62.0
CHEMBL67665,,CHEMBL67665,7.58,26.0
CHEMBL344348,,CHEMBL344348,6.83,148.0
CHEMBL282433,DITOLYLGUANIDINE,CHEMBL282433,7.50,32.0
CHEMBL54,HALOPERIDOL,CHEMBL54,8.66,2.2
CHEMBL148054,,CHEMBL148054,7.82,15.1
CHEMBL45849,,CHEMBL45849,7.68,21.0
CHEMBL342351,,CHEMBL342351,7.26,55.1
CHEMBL296504,,CHEMBL296504,7.80,16.0
CHEMBL50771,,CHEMBL50771,7.82,15.0
CHEMBL41830,,CHEMBL41830,8.85,1.4
CHEMBL138393,,CHEMBL138393,6.61,248.36
CHEMBL138894,,CHEMBL138894,6.63,235.5
CHEMBL370805,COCAINE,CHEMBL370805,5.05,8830.0
CHEMBL423917,,CHEMBL423917,6.85,141.36
CHEMBL358455,,CHEMBL358455,5.95,1130.0
CHEMBL7549,PRECLAMOL,CHEMBL7549,6.63,234.0
CHEMBL344186,,CHEMBL344186,7.72,19.07
CHEMBL138932,,CHEMBL138932,6.53,298.56
CHEMBL341957,,CHEMBL341957,8.18,6.59
CHEMBL139735,,CHEMBL139735,8.04,9.03
CHEMBL337796,,CHEMBL337796,8.46,3.49
CHEMBL86830,,CHEMBL86830,7.49,32.5
CHEMBL344402,,CHEMBL344402,7.86,13.82
CHEMBL314424,,CHEMBL314424,6.43,372.0
CHEMBL281594,VANOXERINE,CHEMBL281594,6.50,318.0
CHEMBL137041,,CHEMBL137041,7.64,22.66
CHEMBL139922,,CHEMBL139922,7.28,51.94
CHEMBL313179,,CHEMBL313179,7.96,11.1
CHEMBL86477,,CHEMBL86477,6.98,104.0
CHEMBL314433,,CHEMBL314433,6.86,138.0
CHEMBL134856,,CHEMBL134856,7.21,61.77
CHEMBL341936,,CHEMBL341936,7.96,10.9
CHEMBL336037,,CHEMBL336037,8.33,4.64
CHEMBL334568,,CHEMBL334568,8.92,1.21
CHEMBL316444,,CHEMBL316444,6.26,552.0
CHEMBL344023,,CHEMBL344023,8.20,6.3
CHEMBL136114,,CHEMBL136114,8.37,4.29
CHEMBL136989,,CHEMBL136989,6.53,298.47
CHEMBL73234,CARBETAPENTANE,CHEMBL73234,7.71,19.5
CHEMBL138688,,CHEMBL138688,8.41,3.93
CHEMBL343580,,CHEMBL343580,8.38,4.2
CHEMBL136451,,CHEMBL136451,8.26,5.51
CHEMBL135083,,CHEMBL135083,8.50,3.15
CHEMBL136231,,CHEMBL136231,7.06,87.05
CHEMBL335953,,CHEMBL335953,8.40,3.97
CHEMBL433340,,CHEMBL433340,6.91,124.0
CHEMBL442408,,CHEMBL442408,6.90,125.41
CHEMBL136677,,CHEMBL136677,7.62,23.88
CHEMBL54,HALOPERIDOL,CHEMBL54,8.60,2.53
CHEMBL356855,,CHEMBL356855,5.14,7280.0
CHEMBL138249,,CHEMBL138249,8.14,7.2
CHEMBL343137,,CHEMBL343137,7.81,15.41
CHEMBL134855,,CHEMBL134855,8.49,3.21
CHEMBL316244,,CHEMBL316244,7.01,97.2
CHEMBL89832,,CHEMBL89832,6.22,596.0
CHEMBL275528,PHENCYCLIDINE,CHEMBL275528,5.96,1090.0
CHEMBL330021,,CHEMBL330021,7.18,66.2
CHEMBL139340,,CHEMBL139340,8.94,1.15
CHEMBL87841,,CHEMBL87841,7.88,13.1
CHEMBL137675,,CHEMBL137675,8.17,6.75
CHEMBL345051,,CHEMBL345051,7.99,10.16
CHEMBL343927,,CHEMBL343927,6.46,346.9
CHEMBL1036,HYDROXYHALOPERIDOL,CHEMBL1036,7.84,14.34
CHEMBL305881,,CHEMBL305881,7.33,46.5
CHEMBL137606,,CHEMBL137606,6.57,269.15
CHEMBL139629,,CHEMBL139629,8.09,8.22
CHEMBL343752,,CHEMBL343752,8.75,1.78
CHEMBL76895,,CHEMBL76895,8.41,3.9
CHEMBL86519,,CHEMBL86519,5.36,4420.0
CHEMBL136275,,CHEMBL136275,7.50,31.25
CHEMBL84971,,CHEMBL84971,7.53,29.6
CHEMBL275707,RIMCAZOLE,CHEMBL275707,6.04,908.0
CHEMBL315846,,CHEMBL315846,5.24,5720.0
CHEMBL142577,,CHEMBL142577,5.35,4450.0
CHEMBL344873,,CHEMBL344873,6.82,149.84
CHEMBL139156,,CHEMBL139156,8.14,7.24
CHEMBL344425,,CHEMBL344425,8.65,2.25
CHEMBL315166,,CHEMBL315166,5.86,1390.0
CHEMBL138794,,CHEMBL138794,8.64,2.31
CHEMBL61946,CARAMIPHEN,CHEMBL61946,7.81,15.5
CHEMBL347761,,CHEMBL347761,5.43,3720.0
CHEMBL14553,,CHEMBL14553,7.20,63.0
CHEMBL276935,,CHEMBL276935,7.14,72.0
CHEMBL159967,,CHEMBL159967,7.37,43.0
CHEMBL15185,,CHEMBL15185,6.44,365.0
CHEMBL300647,,CHEMBL300647,5.80,1600.0
CHEMBL15288,,CHEMBL15288,7.27,54.0
CHEMBL274699,,CHEMBL274699,9.22,0.6
CHEMBL26320,,CHEMBL26320,7.77,17.0
CHEMBL159608,,CHEMBL159608,7.10,79.0
CHEMBL159320,,CHEMBL159320,7.39,41.0
CHEMBL53649,,CHEMBL53649,8.31,4.89
CHEMBL164037,,CHEMBL164037,7.23,59.0
CHEMBL60542,(+)-PENTAZOCINE,CHEMBL60542,8.51,3.1
CHEMBL300647,,CHEMBL300647,6.10,800.0
CHEMBL14835,,CHEMBL14835,6.24,571.0
CHEMBL281594,VANOXERINE,CHEMBL281594,7.37,43.0
CHEMBL159319,,CHEMBL159319,7.21,62.0
CHEMBL20377,,CHEMBL20377,8.66,2.2
CHEMBL14900,,CHEMBL14900,6.20,628.0
CHEMBL286991,,CHEMBL286991,7.29,51.0
CHEMBL163980,,CHEMBL163980,7.42,38.0
CHEMBL45491,,CHEMBL45491,6.26,550.0
CHEMBL45491,,CHEMBL45491,5.85,1400.0
CHEMBL14876,,CHEMBL14876,7.33,47.0
CHEMBL15223,,CHEMBL15223,7.14,72.0
CHEMBL607159,,CHEMBL607159,5.28,5303.0
CHEMBL607212,,CHEMBL607212,7.38,42.0
CHEMBL71049,,CHEMBL71049,9.27,0.54
CHEMBL71049,,CHEMBL71049,8.91,1.23
CHEMBL301867,,CHEMBL301867,6.71,194.0
CHEMBL117319,,CHEMBL117319,7.37,43.0
CHEMBL607273,,CHEMBL607273,6.70,200.0
CHEMBL20377,,CHEMBL20377,9.47,0.34
